"DateTimeUTC","DateTimeLocal","IDUser","IDConversation","IDMessage","Channel","Category","Version","Type"
2014-09-29 15:11:12,2014-09-29 10:11:12,"4T0JVX0nrnYkGMtcLOb_d6159ac6-3d3e-4d9e-a1e6-33da7ce5051f","6nSx5wELGU9BbRdBmLiewb-o","6nSx5wELGU9BbRdBmLiewb-o|0000004","webchat","tramite","bot-chbot-prod","url"
2014-09-29 15:11:22,2014-09-29 10:11:22,"4T0JVX0nrnYkGMtcLOb_d6159ac6-3d3e-4d9e-a1e6-33da7ce5051f","6nSx5wELGU9BbRdBmLiewb-o","6nSx5wELGU9BbRdBmLiewb-o|0000007","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 15:11:43,2014-09-29 10:11:43,"4T0JVX0nrnYkGMtcLOb_d6159ac6-3d3e-4d9e-a1e6-33da7ce5051f","6nSx5wELGU9BbRdBmLiewb-o","6nSx5wELGU9BbRdBmLiewb-o|0000012","webchat","agente","bot-chbot-prod","url"
2014-09-29 15:12:45,2014-09-29 10:12:45,"mdcCXk8HKdqGaPGiOWc_5f356a25-ee90-4df6-b911-99c07acf733d","E0bAVmxJOKC79ulDh6tw4H-o","E0bAVmxJOKC79ulDh6tw4H-o|0000002","webchat","agente","bot-chbot-prod","url"
2014-09-29 15:13:16,2014-09-29 10:13:16,"mdcCXk8HKdqGaPGiOWc_5f356a25-ee90-4df6-b911-99c07acf733d","E0bAVmxJOKC79ulDh6tw4H-o","E0bAVmxJOKC79ulDh6tw4H-o|0000007","webchat","agente","bot-chbot-prod","url"
2014-09-29 15:13:51,2014-09-29 10:13:51,"mdcCXk8HKdqGaPGiOWc_5f356a25-ee90-4df6-b911-99c07acf733d","E0bAVmxJOKC79ulDh6tw4H-o","E0bAVmxJOKC79ulDh6tw4H-o|0000012","webchat","agente","bot-chbot-prod","url"
2014-09-29 15:20:34,2014-09-29 10:20:34,"7CZVTPaiHtae5fG5jtO_c100a0e8-2bfa-4a6b-85d0-b4d95e326a03","9YfxfQ6jcAUDuTiEEUBuLU-o","9YfxfQ6jcAUDuTiEEUBuLU-o|0000004","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 15:21:22,2014-09-29 10:21:22,"7CZVTPaiHtae5fG5jtO_c100a0e8-2bfa-4a6b-85d0-b4d95e326a03","9YfxfQ6jcAUDuTiEEUBuLU-o","9YfxfQ6jcAUDuTiEEUBuLU-o|0000007","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 15:45:19,2014-09-29 10:45:19,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000004","webchat","tramite","bot-chbot-prod","url"
2014-09-29 15:45:38,2014-09-29 10:45:38,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000007","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 15:46:18,2014-09-29 10:46:18,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000019","webchat","agente","bot-chbot-prod","url"
2014-09-29 15:55:00,2014-09-29 10:55:00,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000029","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:04:31,2014-09-29 11:04:31,"iBAyVEl3UlevWEr63pX_a0740a5a-dbd7-41a5-9a5c-1255a2ad0dca","us4umF9CdgL0YCwDDxWiK-o","us4umF9CdgL0YCwDDxWiK-o|0000009","webchat","agente","bot-chbot-prod","url"
2014-09-29 16:18:17,2014-09-29 11:18:17,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000040","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:18:33,2014-09-29 11:18:33,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000043","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:19:02,2014-09-29 11:19:02,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000046","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:19:12,2014-09-29 11:19:12,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000049","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:19:15,2014-09-29 11:19:15,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000052","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:19:17,2014-09-29 11:19:17,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000055","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:19:29,2014-09-29 11:19:29,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000058","webchat","mentor","bot-chbot-prod","consulta"
2014-09-29 16:21:20,2014-09-29 11:21:20,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000061","webchat","tramite","bot-chbot-prod","url"
2014-09-29 16:21:23,2014-09-29 11:21:23,"gw1vxoClbqVySFwEmNi_b3fc3117-4121-4be0-92c0-2a3d6b1a4187","3ORSMLUeiCjJi2UzYVEh51-o","3ORSMLUeiCjJi2UzYVEh51-o|0000064","webchat","mentor","bot-chbot-prod","consulta"
